UTC,Austria_cost_forecast,Belgium_cost_forecast,France_cost_forecast,Germany_cost_forecast,Netherlands_cost_forecast,Austria_cost_historical,Belgium_cost_historical,France_cost_historical,Germany_cost_historical,Netherlands_cost_historical
01/01/2018 00:00,7405.824,11108.736,-37029.12,-41966.336,3702.912,22640.60684,-11494.456,10260.152,-145618.943,-1668.239
01/01/2018 01:00,12343.04,11108.736,-27154.688,-56777.984,3702.912,22640.60684,-10829.089,15833.806,-149370.07,-4696.141
01/01/2018 02:00,12343.04,12343.04,-12343.04,-75292.544,6171.52,22640.60684,-9845.503,906.442,-151568.674,-5824.372
01/01/2018 03:00,36903.18242,16045.952,-17280.256,-61715.2,0,22640.60684,-3693.269,-10510.87,-143969.99,-7531.183
01/01/2018 04:00,38110.48602,16045.952,0,-65418.112,16045.952,22640.60684,-2786.827,-8177.264,-141250.664,-5843.658
01/01/2018 05:00,27154.688,17280.256,-4937.216,-66652.416,13577.344,22640.60684,-2160.032,-5689.37,-143198.55,-3191.833
01/01/2018 06:00,27154.688,12343.04,-4937.216,-60480.896,13577.344,22640.60684,-8235.122,-7868.688,-131318.374,-424.292
01/01/2018 07:00,27154.688,7405.824,-4937.216,-46903.552,18514.56,22640.60684,-7589.041,-14126.995,-121501.8,4271.849
01/01/2018 08:00,7405.824,3702.912,-4937.216,-48137.856,24686.08,22640.60684,-8495.483,-23239.63,-125223.998,9835.86
01/01/2018 09:00,12343.04,9874.432,4937.216,-62949.504,4937.216,22640.60684,-7859.045,-13162.695,-142311.394,5631.512
01/01/2018 10:00,12343.04,14811.648,9874.432,-69121.024,0,22640.60684,-6981.532,6480.096,-150536.873,-1832.17
01/01/2018 11:00,22217.472,16045.952,-7405.824,-66652.416,-1234.304,22640.60684,-4406.851,19286,-153612.99,-3963.273
01/01/2018 12:00,22217.472,16045.952,-17280.256,-56777.984,-1234.304,22640.60684,-1340.377,28311.848,-143825.345,-1677.882
01/01/2018 13:00,2468.608,2468.608,-38263.424,-46903.552,11108.736,22640.60684,3124.332,3731.841,-98869.679,9315.138
01/01/2018 14:00,-17280.256,14811.648,-54309.376,-1234.304,11108.736,22640.60684,4233.277,-27868.27,-78976.17,19874.223
01/01/2018 15:00,-17280.256,20983.168,-62949.504,-35794.816,13577.344,22640.60684,3837.914,-49179.3,-71319.628,27559.694
01/01/2018 16:00,-17280.256,19748.864,-53075.072,-30857.6,12343.04,22640.60684,-1436.807,-62476.997,-55736.54,30240.448
01/01/2018 17:00,-17280.256,20983.168,-34560.512,-16045.952,18514.56,22640.60684,2700.04,-62235.922,-67780.647,35534.455
01/01/2018 18:00,-17280.256,22217.472,-35794.816,-20983.168,20983.168,22640.60684,4628.64,-76584.706,-74415.031,37154.479
01/01/2018 19:00,-17280.256,18514.56,-30857.6,-29623.296,16045.952,22640.60684,1427.164,-88985.604,-85427.337,36411.968
01/01/2018 20:00,-17280.256,13577.344,-28388.992,-37029.12,13577.344,22640.60684,-771.44,-86787,-95591.059,36739.83
01/01/2018 21:00,-17280.256,16045.952,-33326.208,-35794.816,13577.344,22640.60684,-781.083,-84713.755,-83566.238,33441.924
01/01/2018 22:00,-17280.256,18514.56,-29623.296,-40732.032,20983.168,22640.60684,896.799,-80441.906,-76922.211,27877.913
01/01/2018 23:00,-17280.256,17280.256,-29623.296,-35794.816,24686.08,22640.60684,-2478.251,-83064.802,-72582.861,22651.407
02/01/2018 00:00,-17280.256,19748.864,-127133.312,-54309.376,16045.952,7301.77603,-694.296,-79516.178,-68716.018,22824.981
02/01/2018 01:00,-12343.04,17280.256,-113555.968,-50606.464,9874.432,7301.77603,-2690.397,-65967.763,-60480.896,19208.856
02/01/2018 02:00,-9874.432,14811.648,-112321.664,-40732.032,11108.736,7301.77603,-2478.251,-63180.936,-61223.407,16942.751
02/01/2018 03:00,-14811.648,13577.344,-86401.28,-54309.376,16045.952,7301.77603,-723.225,-68339.941,-68243.511,17800.978
02/01/2018 04:00,-18514.56,12343.04,-117258.88,-58012.288,19748.864,7301.77603,-298.933,-70557.831,-78735.095,20722.807
02/01/2018 05:00,-19748.864,13577.344,-143179.264,-56777.984,20983.168,7301.77603,86.787,-79458.32,-75253.972,24165.358
02/01/2018 06:00,-19748.864,6171.52,-130836.224,-64183.808,19748.864,7301.77603,4908.287,-82505.508,-70943.551,18109.554
02/01/2018 07:00,-19748.864,8640.128,-123430.4,-67886.72,14811.648,7301.77603,11002.663,-76073.627,-62071.991,15216.654
02/01/2018 08:00,-19748.864,4937.216,-108618.752,-76526.848,23451.776,7301.77603,6161.877,-74810.394,-62534.855,17588.832
02/01/2018 09:00,-19748.864,0,-104915.84,-69121.024,24686.08,7301.77603,2237.176,-72785.364,-56710.483,18639.919
02/01/2018 10:00,-19748.864,3702.912,-98744.32,-72823.936,24686.08,7301.77603,5149.362,-74366.816,-65466.327,19199.213
02/01/2018 11:00,-19748.864,7405.824,-90104.192,-85166.976,22217.472,7301.77603,9353.71,-73421.802,-68687.089,17164.54
02/01/2018 12:00,-19748.864,12343.04,-99978.624,-81464.064,24686.08,7301.77603,13066.265,-78040.799,-58369.079,19575.29
02/01/2018 13:00,-19748.864,12343.04,-109853.056,-78995.456,25920.384,7301.77603,13181.981,-86468.781,-50953.612,20433.517
02/01/2018 14:00,-19748.864,9874.432,-125899.008,-62949.504,22217.472,7301.77603,9797.288,-102235.086,-43403.143,18466.345
02/01/2018 15:00,-19748.864,13577.344,-138242.048,-56777.984,20983.168,7301.77603,9614.071,-116873.16,-37491.984,19392.073
02/01/2018 16:00,-19748.864,11108.736,-138242.048,-53075.072,23451.776,7301.77603,7232.25,-118416.04,-37366.625,21648.535
02/01/2018 17:00,-19748.864,4937.216,-108618.752,-64183.808,13577.344,7301.77603,6374.023,-100807.922,-41214.182,6904.388
02/01/2018 18:00,-19748.864,6171.52,-106150.144,-54309.376,8640.128,7301.77603,7058.676,-98146.454,-38070.564,3047.188
02/01/2018 19:00,-19748.864,4937.216,-135773.44,-56777.984,18514.56,7301.77603,6653.67,-115330.28,-64521.313,12169.466
02/01/2018 20:00,-19748.864,11108.736,-144413.568,-59246.592,23451.776,7301.77603,4242.92,-120932.863,-81647.281,20558.876
02/01/2018 21:00,-19748.864,9874.432,-143179.264,-55543.68,19748.864,7301.77603,5081.861,-125629.004,-95407.842,17318.828
02/01/2018 22:00,-11108.736,3702.912,-132070.528,-65418.112,16045.952,7301.77603,3346.121,-112225.234,-108936.971,12487.685
02/01/2018 23:00,-4937.216,0,-117258.88,-82698.368,16045.952,7301.77603,-1224.661,-103209.029,-100730.778,12439.47
03/01/2018 00:00,19748.864,1234.304,-61715.2,-46903.552,13577.344,19930.44169,1282.519,-101656.506,-97336.442,10192.651
03/01/2018 01:00,22217.472,2468.608,-99978.624,-54309.376,11108.736,19930.44169,-1494.665,-89660.614,-109255.19,6499.382
03/01/2018 02:00,23451.776,-2468.608,-65418.112,-25920.384,11108.736,19930.44169,-5409.723,-86767.714,-115590.641,5747.228
03/01/2018 03:00,22217.472,0,-77761.152,-53075.072,12343.04,19930.44169,-2565.038,-88175.592,-113025.603,3924.701
03/01/2018 04:00,18514.56,0,-113555.968,-55543.68,14811.648,19930.44169,1861.099,-87143.791,-113536.682,8051.905
